,handles
1,@jaff8
2,@UcheUnogu
3,@TayeOlusola
4,@AnthoniaOrji
5,@uncleboluW
6,@ForNaijaRetweet
7,@JustSomeQuotezz
8,@MordiOfficial
9,@MaDailyGistNG
10,@kingext
11,@DONJAZZY
12,@MTN180
13,@Itz_Konani
14,@Naijablogger
15,@Twinsaffair
16,@PoojaMedia
17,@mrasaj
18,@nollywoodtweets
19,@dappyboy0489
20,@SmilesParker
21,@AlHaill_RSA
22,@latest_naija
23,@TosinOlugbenga
24,@SeyipEteRs_
25,@KingAbsoIute
26,@Mp3bullet
27,@realoluseyi
28,@accessbank_help
29,@ThatLankyBoi
30,@leereports
31,@mpiredivine
32,@Diegochuene
33,@gtbank_help
34,@tommy_viccetti
35,@TWEETORACLE
36,@OlumideIDOWU
37,@Mrtybaba
38,@thebiyitudors
39,@DeleMomodu
40,@sexydjbabylynn
41,@badniggafela
42,@maxxyfire
43,@zhurg_
44,@itsTomiwa
45,@Morris_Monye
46,@YinkaPost
47,@chiefagbabiaka
48,@Law_Lee
49,@iam_bussie
50,@eniola_opeyemi
51,@Livenewsng
52,@UcheofLagos
53,@TheInfoNG
54,@abudujoshh
55,@LitSego
56,@SavvyRinu
57,@lotto9jang
58,@Danny_Walterr
59,@RealDreylo
60,@Naija102FM
61,@iSlimfit
62,@ameyaw112
63,@UNCLE_AJALA
64,@Audu
65,@weirdmcofficial
66,@GOtvKenya
67,@Alan_yournextbf
68,@AYCOMEDIAN
69,@SomtoSocial
70,@aphroDIJA
71,@Baldilocks__
72,@V_eektorr
73,@GloCare
74,@iamAbiodunAA
75,@labbymedia
76,@dammiedammie35
77,@TheOladeile
78,@1real_asap
79,@Harryolah
80,@zataarra
81,@Blackdotmandy
82,@theNETng
83,@_AdukeAde
84,@cutekimani
85,@MeetHajaar
86,@the_olaoflagos
87,@THEBEAT999FM
88,@MI_Abaga
89,@JAYWONJUWONLO
90,@pengmanmodel
91,@___FAREED
92,@Nappyblaze
93,@OloriSupergal
94,@dareynow
95,@vikiing_
96,@SAMKLEF
97,@Baudex
98,@Al_ameen_Yabo
99,@TECNOMobileNG
100,@Naijanewsmagtv
101,@obyezeks
102,@mareeyerhh
103,@FirstBankngr
104,@FrankHasAPlan
105,@OlisaOsega
106,@Gidi_Traffic
107,@Iceprincezamani
108,@Realomosexy
109,@orla_mide
110,@TONTOLET
111,@koredebello
112,@UcheDandyMUFC
113,@MaziIbe_
114,@AirtelNigeria
115,@chidimokeme
116,@ogundamisi
117,@wandecoal
118,@iamdihealer
119,@Soundsultan
120,@Aljazirahnewsng
121,@legitngnews
122,@official2baba
123,@eLDeeTheDon
124,@marrgarritah
125,@bluegirlolu
126,@RealSeunKuti
127,@AuntyAdaa
128,@Omojuwa
129,@nighealthwatch
130,@basket_mouth
131,@PreciousChee
132,@HenshawKate
133,@Waconzy
134,@iam_kcee
135,@stelladamasus
136,@PeterPsquare
137,@YeleSowore
138,@BrymOlawale
139,@vanguardngrnews
140,@THEBEAT979FM
141,@kachwanya
142,@gtbank
143,@Jessejagz
144,@bellanaija
145,@GloWorld
146,@IamDrSID
147,@IFM923
148,@TiwaSavage
149,@OgbeniDipo
150,@Yung6ix
151,@Femiakuti
152,@Lulu33_ZS
153,@mrmanheree
154,@MobilePunch
155,@Osi_Suave
156,@AbangMercy
157,@julietibrahim
158,@OfficialWaje
159,@iamdbanj
160,@toluogunlesi
161,@SashaPofficial
162,@ritaUdominic
163,@Karen_Igho
164,@kemiadetiba
165,@MTNNG
166,@illBlissGoretti
167,@MaDailyGist
168,@Falilatt_
169,@magbedu
170,@YulEdochie
171,@uchejombo
172,@AnnieMacaulay1
173,@BankyW
174,@munachiabii
175,@Shoprite_NG
176,@youngskales
177,@kktravelsStore
178,@MoCheddaH
179,@DStvNg
180,@funkeakindele
181,@ThickLeeyonce
182,@ChinkoTiger
183,@Wazobia_FM
184,@beatsbysarz
185,@GbemiOO
186,@djkaywise
187,@carolinespencer
188,@TheFavoredWoman
189,@CandieModiselle
190,@followlasg
191,@CoolFMNigeria
192,@StanbicIBTC
193,@GenevieveNnaji1
194,@ikechukwuKillz
195,@dammy_krane
196,@djjimmyjatt
197,@wizkidayo
198,@DENRELE_EDUN
199,@deejayneptune
200,@ZenithBank
201,@abati1990
202,@JuliusAgwu1
203,@rudeboypsquare
204,@PolarisBankLtd
205,@IamReminisce
206,@coldstoneng
207,@PulseNigeria247
208,@StephanieLinus
209,@iamDo2dtun
210,@Monalisacode
211,@Omonioboli
212,@Chukie_lynxxx
213,@CristianGilDj
214,@iRuntown
215,@NseIkpeEtim
216,@ToolzO
217,@MisterMayD
218,@burnaboy
219,@DaddyFRZ
220,@mrdutchempire
221,@patorankingfire
222,@SirUTI
223,@DJXCLUSIVE
224,@brianmutinda_
225,@DJSPINALL
226,@OfficialPDPNig
227,@DJINEE
228,@Tinimashent
229,@elrufai
230,@access_more
231,@kayswitch
232,@kfayemi
233,@Naijapals
234,@VectorThaViper
235,@realmercyj
236,@Omawumi
237,@daily_trust
238,@bukolasaraki
239,@ClassicFM973
240,@Max1023FM
241,@deejayfaremi
242,@lekan_kingkong
243,@Mixxeddemotions
244,@GOtvNg
245,@Pondermentalist
246,@samsungmobileng
247,@festus
248,@timayatimaya
249,@NigeriainfoFM
250,@africamagictv
251,@voteandstay
252,@NGSuperEagles
253,@Chxta
254,@Itslaycon
255,@tokstarr
256,@ik_osakioduwa
257,@ozzyetomi
258,@FRSCNigeria
259,@chiomakpotha
260,@USMAN84kg
261,@TheNationNews
262,@thenff
263,@iniedo01
264,@GuardianNigeria
265,@myaccessbank
266,@AsisatOshoala
267,@NigezieTV
268,@abikedabiri
269,@papilokanu
270,@APCNigeria
271,@Ebuka
272,@UtomiPat
273,@yemialadee
274,@SilverbirdTV
275,@HipTv
276,@chamberlainusoh
277,@NaetoC
278,@NuhuRibadu
279,@GarShehu
280,@ighalojude
281,@raufaregbesola
282,@realmikeezu
283,@nairaland
284,@TsakisaniM
285,@funmioyatogun
286,@TVCconnect
287,@PremiumTimesng
288,@KraksTV
289,@MTN_ProjectFame
290,@nigeriantribune
291,@pmnewsnigeria
292,@SkyeAsiyanbi
293,@infonaija
294,@YNaija
295,@RFI_Ha
296,@AkpraiseMedia
297,@Metricsafrica
298,@Pepsi_Naija
299,@RaypowerNetwork
300,@THISDAYLIVE
301,@NigeriaGov
302,@TVCNews_Africa
303,@edigital247
304,@channelstv
305,@AkinwunmiAmbode
306,@MyFCMB
307,@sam_adeyemi
308,@tvcnewsng
309,@VictorMoses
310,@seyiamakinde
311,@EvaAlordiah
312,@USinNigeria
313,@AccelerateTV
314,@PoliceNG
315,@IndependentNGR
316,@GoalAfrica
317,@CocaCola_NG
318,@SIAmosun
319,@BBNaija
320,@benmurraybruce
321,@OnwardNG
322,@BBNaijaShow
323,@NTANewsNow
324,@Tweet_Lord1
325,@heisrema
326,@GistReel
327,@jimiagbaje
328,@Postsubman
329,@officialEFCC
330,@Sterling_Bankng
331,@atiku
332,@DAMIADENUGA
333,@NGRSenate
334,@E29EMENIKE
335,@InfinixNigeria
336,@UNIONBANK_NG
337,@ChibuikeAmaechi
338,@BBNaija2020_
339,@SundayOOliseh
340,@tundefashola
341,@FordNigeria
342,@realFFK
343,@ProfOsinbajo
344,@HQNigerianArmy
345,@NairaBET
346,@chikaike
347,@ShopKonga
348,@voahausa
349,@alexiwobi
350,@BBAfrica
351,@inecnigeria
352,@LekeAlder
353,@NOTJUSTOK
354,@GovUmarGanduje
355,@PastorEAAdeboye
356,@DangoteGroup
357,@cossybarbie
358,@NGRPresident
359,@BounceNewsNg
360,@TonyOElumelu
361,@AsiwajuTinubu
362,@SOUNDCITYtv
363,@npower_ng
364,@UBAGroup
365,@ecobank_nigeria
366,@yabaleftonline
367,@OfficialIdeye
368,@houseontherock
369,@MBuhari
370,@renoomokri
371,@Asa_official
372,@JumiaNigeria
373,@markangelcomedy
374,@Quickteller
375,@IndomieNigeria
376,@DailyPostNGR
377,@AAAjimobi
378,@AlikoDangote
379,@NOIweala
380,@fidelitybankplc
381,@T_Bakare
382,@Saka_Stic
383,@bb_naijafan
384,@SCOANTBJoshua
385,@dino_melaye
386,@NigeriaNewsdesk
387,@todayng
388,@937RhythmFm
389,@2niteFlavour
390,@ALIBABAGCFR
391,@9mobileng
392,@NigeriaTweetPub
393,@9iceofficial
394,@Twinsgistmag
395,@9mobilengCare
396,@Rainbow941fm
397,@irokotv
398,@HuntellaDotNet
399,@voopinmag
400,@EniAlu
401,@OmoAlagba
402,@WWTBAM
403,@TheNerveAfrica
404,@nexxtlevelNig
405,@elevationng
406,@talkofnaija
407,@itelMobileNG
408,@Achievas
409,@Muazuaa
410,@joepraize
411,@mr_nomoreloss
412,@AmamaBenn
413,@proshare
414,@shawttynatt
415,@Lemar
416,@wemabank
417,@EpidAlert
418,@CompleteSports
419,@ask4wizzy
420,@TheDemolaExpoze
421,@UNICEF_Nigeria
422,@BusinessDayNg
423,@SHEYMANMUSIC
424,@legitnghausa
425,@Aunty__Oyin
426,@Heirs_Holdings
427,@TRACENaija
428,@TheExperienceLG
429,@KayodeAkintemi
430,@tybellotweets
431,@IAmSteveHarris
432,@Nairametrics
433,@oyostategovt
434,@oneraceconcepts
435,@osita_chidoka
436,@VerveCard
437,@PiggyBankNG
438,@oduamadi7
439,@DailyTimesNGR
440,@VisaNigeria
441,@NigeriaInfoPH
442,@semako_pr
443,@mba_sunday
444,@ugodre
445,@THUNDER_ONLY1
446,@PrincessKKD
447,@FBN_help
448,@LamlanDigital
449,@DealDey
450,@AtweetForAllah
451,@UnityBankPlc
452,@PwC_Nigeria
453,@BOINigeria
454,@bryanokwara
455,@DebolaLagos
456,@InterswitchGRP
457,@blossomozurumba
458,@RCCGCityofDavid
459,@UnilagOlodo
460,@BarBaricMUSIC
461,@Nigeria
462,@Nwankpa_A
463,@gtcrea8
464,@iammrsongz
465,@IkejaElectric
466,@Peniela2008
467,@OreAbayomi_
468,@heritagebankplc
469,@OVHEnergy
470,@BimboAkin
471,@StarTimes_Ng
472,@AzmanAir
473,@NejeebBello
474,@PropertyProNG
475,@estherclimate
476,@OsaGz
477,@Shell_Nigeria
478,@oppomobileng
479,@Andela_Nigeria
480,@PeakMilk
481,@JohnObidi
482,@BBOG_Nigeria
483,@JijiNigeria
484,@MrKan_E
485,@GroupEcobank
486,@Closeupng
487,@Wakanowdotcom
488,@Oando_PLC
489,@EUinNigeria
490,@TVC_Ent
491,@GossipMillNaija
492,@keystonebankng
493,@impart_network
494,@TunjiAndrews
495,@Smooth981FM
496,@bishopfranko
497,@LeadwayInsure
498,@Techpointdotng
499,@officialOLAMIDE
500,@NigeriaInfoAbj
501,@presgoodluck
502,@BizWatchNigeria
503,@Boltapp_ng
504,@WazobiaFMPH
505,@joelobi20
506,@UberNigeria
507,@JamesonNGR
508,@MotorolaNG
509,@Heineken_NG
510,@TOTALNigeria
511,@mypaga
512,@LBSNigeria
513,@EdwinBiayeibo
514,@MediaGuide_NG
515,@Star_NG
516,@AramideMusic
517,@BriefcaseAfrica
518,@NaijaBet
519,@Samsung_Nigeria
520,@getbigi
521,@generalpype
522,@jeni1_
523,@mradetayo_
524,@OluyomiOjo
525,@JaizBankNG
526,@CustodianPLC
527,@vconnectnigeria
528,@ardovaplc
529,@KnorrNigeria
530,@DangoteCement
531,@3crownsmilk
532,@Spectranet_NG
533,@otimkpu1
534,@GuinnessNGR
535,@ZaraGretti
536,@Tecnoowndstage
537,@Lafarge_Africa
538,@AmstelMalta
539,@yeankhar
540,@Maltina
541,@dominosng
542,@Tolu_Erogbogbo
543,@pmoney_001
544,@AUNigeria
545,@armengage
546,@BarBaricSTYLE
547,@ExxonMobil_NG
548,@MonsterEnergyNG
549,@fayrouznigeria
550,@ntelng
551,@WaleMicaiah
552,@asisato1
553,@JumiaNGHelp
554,@SunlightNigeria
555,@MyTPH
556,@Nigerianidol
557,@OrisunTV
558,@FilmhouseCinema
559,@TCNonline
560,@DurexNG
561,@TFOLC
562,@addynamo
563,@oladseyOOE
564,@SmileComsNG
565,@ckay_yo
566,@RemitaNET
567,@CoolFMKano
568,@BudweiserNG
569,@kfcnigeria
570,@SandtexPaints
571,@danomilk_ng
572,@ACCANigeria
573,@ntelcare
574,@techcityng
575,@ChekiNigeria
576,@HPNigeria1
577,@AfrFootball
578,@airtel_care
579,@DanaAir
580,@MunchITNigeria
581,@SigmaPensions
582,@GokadaNG
583,@TYPICALNAIJA
584,@HFMNoodles
585,@Kidabliss
586,@wazobiatvng
587,@CanHCNigeria
588,@wazobiamax
589,@KLMNigeria
590,@OrijinNigeria
591,@lauraikeji
592,@FBNQuest
593,@happeningsng
594,@Ahmad_Gumi
595,@MamadorNg
596,@kingsleypst
597,@huaweimobileng
598,@ParadigmHQ
599,@GulderNG
600,@WazobiaFMKano
601,@AXAMansard
602,@HeroLager
603,@ComplanNigeria
604,@FranceAbuja
605,@nigeriaLNG
606,@TheOfficialK9
607,@HouseofTara
608,@ABSOLUTNG
609,@exschoolnerd
610,@fantanaija
611,@jumiatravelKE
612,@PowerOilNG
613,@SPARNigeria
614,@jijing_team
615,@Sprite_NG
616,@KPMG_NG
617,@BURSSBRAIN
618,@KongaPay
619,@RedMediaAfrica
620,@SmirnoffNg
621,@Renmoney
622,@houseofluxng
623,@betamaltng
624,@TrophyLager
625,@vicshaga
626,@LFW_NG
627,@Travelbeta
628,@baileysnigeria
629,@HollandiaYogh
630,@playbabaijebu
631,@SilverbirdDist
632,@USEmbassyNiamey
633,@aishahmad
634,@imosenig
635,@amcngtv
636,@HiltonAbuja
637,@LifePointeNG
638,@Cowbellmilk
639,@rotexonline
640,@DangotePasta
641,@HoneyandBanana
642,@OngaNigeria
643,@MeristemNigeria
644,@MicrosoftNG
645,@EkoAtlantic
646,@AllianzNigeria
647,@NigerianCAA
648,@moukalimited
649,@trendmyevent
650,@Printivo
651,@EkoHotels
652,@fc1naija
653,@belimpexlimited
654,@MusicPlus__
655,@AppsAfrica
656,@CampariNigeria
657,@VFDGroup
658,@martellnigeria
659,@IPISolutionsNG
660,@GrandCereals
661,@GIGMobility
662,@MaltaGuinnessNG
663,@JumiaFoodNG
664,@NaijaHomeOnline
