,hashtags,id,name,screen_name,hashtags_count
0,10sseries,25082212,Bob Skinstad,BobSkinstad,2
1,10yearchallenege,25082212,Bob Skinstad,BobSkinstad,1
2,250th,25082212,Bob Skinstad,BobSkinstad,1
3,AGT,25082212,Bob Skinstad,BobSkinstad,1
4,AI,25082212,Bob Skinstad,BobSkinstad,6
5,AI100,25082212,Bob Skinstad,BobSkinstad,2
6,ANCLogic,25082212,Bob Skinstad,BobSkinstad,1
7,AVEVAStadium,25082212,Bob Skinstad,BobSkinstad,1
8,Africa,25082212,Bob Skinstad,BobSkinstad,1
9,AfterLife,25082212,Bob Skinstad,BobSkinstad,2
10,AirBnB,25082212,Bob Skinstad,BobSkinstad,1
11,Arbroath,25082212,Bob Skinstad,BobSkinstad,1
12,Aresebetseng,25082212,Bob Skinstad,BobSkinstad,1
13,Arsenal,25082212,Bob Skinstad,BobSkinstad,1
14,ArsenalinUSA,25082212,Bob Skinstad,BobSkinstad,1
15,Ashes,25082212,Bob Skinstad,BobSkinstad,1
16,Ashes2019,25082212,Bob Skinstad,BobSkinstad,2
17,Aussie7s,25082212,Bob Skinstad,BobSkinstad,1
18,BHinSanFran,25082212,Bob Skinstad,BobSkinstad,1
19,BakkiesBoerewors,25082212,Bob Skinstad,BobSkinstad,1
20,BarnesRFCBigLift,25082212,Bob Skinstad,BobSkinstad,1
21,BeLegendary,25082212,Bob Skinstad,BobSkinstad,1
22,BeautifulRugbyFields,25082212,Bob Skinstad,BobSkinstad,1
23,Bermuda,25082212,Bob Skinstad,BobSkinstad,1
24,Betelgeuse,25082212,Bob Skinstad,BobSkinstad,1
25,BetisBarça,25082212,Bob Skinstad,BobSkinstad,1
26,Blitzbokke,25082212,Bob Skinstad,BobSkinstad,1
27,Blitzboks,25082212,Bob Skinstad,BobSkinstad,1
28,Bokke,25082212,Bob Skinstad,BobSkinstad,1
29,Bolivia,25082212,Bob Skinstad,BobSkinstad,1
30,BookReview,25082212,Bob Skinstad,BobSkinstad,1
31,Breakfast,25082212,Bob Skinstad,BobSkinstad,1
32,BudgetDebate,25082212,Bob Skinstad,BobSkinstad,1
33,Buffalo,25082212,Bob Skinstad,BobSkinstad,1
34,BusinessOpportunityCircle,25082212,Bob Skinstad,BobSkinstad,2
35,CARRYTHEMHOME,25082212,Bob Skinstad,BobSkinstad,1
36,CHIvSUN,25082212,Bob Skinstad,BobSkinstad,1
37,COVID19,25082212,Bob Skinstad,BobSkinstad,7
38,COYG,25082212,Bob Skinstad,BobSkinstad,1
39,COYGIG,25082212,Bob Skinstad,BobSkinstad,1
40,CT10s,25082212,Bob Skinstad,BobSkinstad,2
41,CWC19,25082212,Bob Skinstad,BobSkinstad,3
42,California,25082212,Bob Skinstad,BobSkinstad,1
43,Canada7s,25082212,Bob Skinstad,BobSkinstad,1
44,CanaryWharf,25082212,Bob Skinstad,BobSkinstad,1
45,CapeTown,25082212,Bob Skinstad,BobSkinstad,1
46,CapeTown10s,25082212,Bob Skinstad,BobSkinstad,7
47,CapeTown7s,25082212,Bob Skinstad,BobSkinstad,2
48,CarpeDiem,25082212,Bob Skinstad,BobSkinstad,1
49,ChampionsMindApp,25082212,Bob Skinstad,BobSkinstad,1
50,Championship,25082212,Bob Skinstad,BobSkinstad,1
51,ChesterWilliams,25082212,Bob Skinstad,BobSkinstad,1
52,Christchurch,25082212,Bob Skinstad,BobSkinstad,1
53,ClosingThought,25082212,Bob Skinstad,BobSkinstad,1
54,Covid19,25082212,Bob Skinstad,BobSkinstad,1
55,Covid19SA,25082212,Bob Skinstad,BobSkinstad,2
56,CricketFamily,25082212,Bob Skinstad,BobSkinstad,1
57,CricketWorldCup,25082212,Bob Skinstad,BobSkinstad,1
58,CrossingTheBorder,25082212,Bob Skinstad,BobSkinstad,1
59,Crowdfunding,25082212,Bob Skinstad,BobSkinstad,1
60,Crunch,25082212,Bob Skinstad,BobSkinstad,1
61,Cubs,25082212,Bob Skinstad,BobSkinstad,1
62,Customercentric,25082212,Bob Skinstad,BobSkinstad,1
63,CycloneIdai,25082212,Bob Skinstad,BobSkinstad,1
64,DDay76,25082212,Bob Skinstad,BobSkinstad,1
65,DanieGerber,25082212,Bob Skinstad,BobSkinstad,1
66,DateForTheDiary,25082212,Bob Skinstad,BobSkinstad,5
67,Dawgs,25082212,Bob Skinstad,BobSkinstad,1
68,DawgsLyf,25082212,Bob Skinstad,BobSkinstad,1
69,DontDieWondering,25082212,Bob Skinstad,BobSkinstad,1
70,Dragons,25082212,Bob Skinstad,BobSkinstad,1
71,DuduMyeni,25082212,Bob Skinstad,BobSkinstad,1
72,Duggerboys,25082212,Bob Skinstad,BobSkinstad,1
73,Dundee,25082212,Bob Skinstad,BobSkinstad,1
74,Durban,25082212,Bob Skinstad,BobSkinstad,1
75,Durban10s,25082212,Bob Skinstad,BobSkinstad,1
76,DurbanCC,25082212,Bob Skinstad,BobSkinstad,1
77,ENGAUS,25082212,Bob Skinstad,BobSkinstad,1
78,EastLondon10s,25082212,Bob Skinstad,BobSkinstad,1
79,EdTech,25082212,Bob Skinstad,BobSkinstad,1
80,Entrepreneurship,25082212,Bob Skinstad,BobSkinstad,1
81,Eskom,25082212,Bob Skinstad,BobSkinstad,1
82,EyeSpy,25082212,Bob Skinstad,BobSkinstad,1
83,FMGR,25082212,Bob Skinstad,BobSkinstad,6
84,FOMxKolisi,25082212,Bob Skinstad,BobSkinstad,1
85,FRAvARG,25082212,Bob Skinstad,BobSkinstad,1
86,FRAvRSA,25082212,Bob Skinstad,BobSkinstad,1
87,FRAvTGA,25082212,Bob Skinstad,BobSkinstad,1
88,FRAvUSA,25082212,Bob Skinstad,BobSkinstad,1
89,FafInASpeedo,25082212,Bob Skinstad,BobSkinstad,1
90,Fintech,25082212,Bob Skinstad,BobSkinstad,1
91,FishPornFriday,25082212,Bob Skinstad,BobSkinstad,1
92,FlashbackFriday,25082212,Bob Skinstad,BobSkinstad,1
93,ForeverTheFew,25082212,Bob Skinstad,BobSkinstad,1
94,FreedomDay,25082212,Bob Skinstad,BobSkinstad,1
95,FutAPootInTouch,25082212,Bob Skinstad,BobSkinstad,1
