,0
0,(@wizkidayo)
1,(@DONJAZZY)
2,(@TiwaSavage)
3,(@channelstv)
4,(@burnaboy)
5,(@MobilePunch)
6,(@MBuhari)
7,(@iamdbanj)
8,(@BankyW)
9,(@atiku)
10,(@official2baba)
11,(@PeterPsquare)
12,(@ProfOsinbajo)
13,(@Iceprincezamani)
14,(@vanguardngrnews)
15,(@patorankingfire)
16,(@GenevieveNnaji1)
17,(@THEBEAT999FM)
18,(@bukolasaraki)
19,(@basket_mouth)
20,(@wandecoal)
21,(@CoolFMNigeria)
22,(@dino_melaye)
23,(@NGRPresident)
24,(@GuardianNigeria)
25,(@elrufai)
26,(@NigeriaNewsdesk)
27,(@bellanaija)
28,(@MI_Abaga)
29,(@inecnigeria)
30,(@gtbank)
31,(@AYCOMEDIAN)
32,(@PremiumTimesng)
33,(@rudeboypsquare)
34,(@daily_trust)
35,(@benmurraybruce)
36,(@PoliceNG)
37,(@Realomosexy)
38,(@ToolzO)
39,(@TONTOLET)
40,(@PastorEAAdeboye)
41,(@iRuntown)
42,(@THISDAYLIVE)
43,(@DeleMomodu)
44,(@TheNationNews)
45,(@Ebuka)
46,(@ZenithBank)
47,(@NOIweala)
48,(@VictorMoses)
49,(@Wazobia_FM)
50,(@funkeakindele)
51,(@IamDrSID)
52,(@timayatimaya)
53,(@ritaUdominic)
54,(@DailyPostNGR)
55,(@NigeriaGov)
56,(@heisrema)
57,(@MTNNG)
58,(@NGRSenate)
59,(@AkinwunmiAmbode)
60,(@TonyOElumelu)
61,(@sam_adeyemi)
62,(@obyezeks)
63,(@NigeriainfoFM)
64,(@GarShehu)
65,(@937RhythmFm)
66,(@Soundsultan)
67,(@eLDeeTheDon)
68,(@APCNigeria)
69,(@officialEFCC)
70,(@HQNigerianArmy)
71,(@realFFK)
72,(@djjimmyjatt)
73,(@Omojuwa)
74,(@NTANewsNow)
75,(@uchejombo)
76,(@NaetoC)
77,(@2niteFlavour)
78,(@AlikoDangote)
79,(@ALIBABAGCFR)
80,(@IamReminisce)
81,(@BBNaija)
82,(@tokstarr)
83,(@DJXCLUSIVE)
84,(@tundefashola)
85,(@Omawumi)
86,(@alexiwobi)
87,(@AsiwajuTinubu)
88,(@DJSPINALL)
89,(@GloWorld)
90,(@iam_kcee)
91,(@HenshawKate)
92,(@legitngnews)
93,(@youngskales)
94,(@UBAGroup)
95,(@dareynow)
96,(@Jessejagz)
97,(@Asa_official)
98,(@SOUNDCITYtv)
99,(@abati1990)
