User_screen_name,User_name,Location,Created_at,Followers_count,Friend_count,Favourites_count,Language,Protected,Time_zone,Verified,Statuses_count,Url,Description
Naija_PR,Naija,Nigeria,2013-09-24 18:00:41,255057,207660,79147,,FALSE,,TRUE,142089,https://t.co/bquCrwXncA,A PR agency based in Nigeria. Follow us so you can get to know the things happening on Twitta Nigeria. 08067033831 (Calls only)
ALIBABAGCFR,Alibabagcfr,"Lagos, Nigeria",2009-03-11 10:01:06,865619,180579,6814,,FALSE,,TRUE,120546,https://t.co/jxe6jDT3Vh,Hubby. Dad. Comedian. Mcee. Tv Host. Actor. Motivational Speaker. Ideas generator. +2348033330000 Whatsapp. Alibabagcfr-Instagram
90sSophie,sophia,Nigeria,2016-04-11 16:58:01,248843,161686,37,,FALSE,,FALSE,49544,,Online promoter.📩 DM for business conversation & to get your songs on streaming platforms|messages not on promotion services is not allowed.thanks!
NigeriaTweetPub,Nigeria Publicity,Nigeria,2014-06-07 9:04:33,273263,143911,89,,FALSE,,FALSE,31310,,"Twitter Publicity for brands, goods, services, events, movies, music etc... FOR ENQUIRIES... Email:- nigeriapublicity@gmail.com"
Twinsgistmag,Twins Gist Mag,"Lagos, Nigeria.",2011-01-05 9:49:43,156147,143486,286,,FALSE,,FALSE,75306,https://t.co/XermOEAIeD,Entertainment and fashion page. 08039665037.
iamwytunes,👑 King Kong Tunde,,2015-04-21 5:38:30,204252,139959,2682,,FALSE,,FALSE,21483,,Media | Mu$ic | Oil. Songwriter Bathroom singer with 12 Grammy awards DM for promotion and ads. Email: Akinsanmitunde7@gmail.com
jaff8,Baba J,"Edo, Nigeria",2011-05-17 21:52:25,279899,136604,1216,,FALSE,,FALSE,864808,,Media | Crypto | FinTech | Curating Creativity
UcheUnogu,Evangelist Uche Christian,"Indianapolis, USA",2011-09-26 2:47:48,195546,121188,388,,FALSE,,FALSE,10647,https://t.co/INN34x3OV9,"Evangelist - Preaching out of Indianapolis, Indiana by the way of Lagos, Nigeria | Author | Founder of The Onyx House"
TayeOlusola,T A Y E,"Lagos, Nigeria",2009-05-17 21:03:52,173543,107249,516,,FALSE,,TRUE,37314,https://t.co/BUuRVk9q9Z,Music Producer | Journalist | Audio Engineer | Pianist | Tayeolusola@gmail.com | +2348024019195
AnthoniaOrji,Anthonia Orji,Nigeria,2011-07-31 22:52:46,265269,104035,14788,,FALSE,,TRUE,113225,https://t.co/gHdecopsyM,Digital Strategist | Social Media Marketing | Business Analytics | Digital Transformation | Influencer | RT ≠ Endorsement. #BBNaija
uncleboluW,uncle bolu,Naija,2014-03-24 9:30:03,100029,94210,4372,,FALSE,,FALSE,32111,,Digital Marketer | Africa 🌍 | Liverpool 🌈 | Johnnydrille ♥️ | 🇳🇬
ForNaijaRetweet,ForNaijaRetweet,,2012-01-26 13:03:18,218091,90368,1,,FALSE,,FALSE,47042,,
JustSomeQuotezz,JustSomeQuotezz,,2012-01-26 12:59:56,181400,81336,1,,FALSE,,FALSE,40,,
