id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1277585384340365312,2020-06-29 12:51:06+00:00,"<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>",The latest Financial Technology News Report! https://t.co/UhH0om1kgC Thanks to @fintechfrank #fintech #covid19,The latest Financial Technology News Report Thanks,"Sentiment(polarity=0.2333333333333333, subjectivity=0.3666666666666667)",0.2333333333333333,0.3666666666666667,en,0,0,fin_tech,0.0,"fintech, covid19",fintechfrank,,UK
1277585385812643840,2020-06-29 12:51:07+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ReproRights: The Supreme Court will rule in our case challenging Louisiana's clinic shutdown law any day now.

Here's what's at stake..…",The Supreme Court rule case challenging Louisiana 's clinic shutdown law day now.Here 's 's stake ..,"Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1.0,en,0,0,helmsinki,,,ReproRights,,"St Louis, MO"
1277585390963249152,2020-06-29 12:51:08+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Whitney_Iles: My friends over at @PowerTheFightUK have organised this amazing online conference: COVID19 Isolation and Young People.…,My friends organised amazing online conference COVID19 Isolation Young People,"Sentiment(polarity=0.35000000000000003, subjectivity=0.65)",0.35000000000000003,0.65,en,0,0,BANANAS1968,,,"Whitney_Iles, PowerTheFightUK",,Central London 
1277585394285056002,2020-06-29 12:51:09+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @AiThority: @Sisense Releases The State Of BI &amp; Analytics Report 2020: Special COVID-19 Edition https://t.co/RrguHdeLX5 #blockchain #art…,Releases The State Of BI amp Analytics Report Special COVID-19 Edition,"Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",0.35714285714285715,0.5714285714285714,en,0,0,Sisense,0.0,blockchain,"AiThority, Sisense",,"New York, USA"
1277585398852714496,2020-06-29 12:51:10+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Abhi37852080: @MoHFW_INDIA @DrRPNishank @DG_NTA plzzz many students live far from their respective cnetre city and transportation is al…,plzzz many students live far respective cnetre city transportation al,"Sentiment(polarity=0.18409090909090908, subjectivity=0.525)",0.18409090909090908,0.525,en,0,0,nita27334816,,,"Abhi37852080, MoHFW_INDIA, DrRPNishank, DG_NTA",,
1277585403021647873,2020-06-29 12:51:11+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","(abbrev) ""To combat [anti-vax groups] ... essential that public health officials, physicians &amp; community leaders ta… https://t.co/zagKeATY62",abbrev `` To combat anti-vax groups ... essential public health officials physicians amp community leaders ta,"Sentiment(polarity=0.0, subjectivity=0.18333333333333332)",0.0,0.18333333333333326,en,0,0,KathrynMathias1,,,,,"Calgary, Alberta Canada"
1277585406800748544,2020-06-29 12:51:12+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Great story highlighting long recovery for #COVID19 patients fortunate enough to survive critical illness - even yo… https://t.co/gcspPgACze,Great story highlighting long recovery patients fortunate enough survive critical illness even yo,"Sentiment(polarity=0.22999999999999998, subjectivity=0.6299999999999999)",0.23,0.6299999999999999,en,0,0,cristineeberry,,COVID19,,,"Tucson, AZ"
1277585411049578499,2020-06-29 12:51:13+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Covid19TNUpdate: #TamilNadu | #COVID19 |  28 June

District Wise  Data...

#TNCoronaupdates https://t.co/VeqDLKOUDY",JuneDistrict Wise Data ...,"Sentiment(polarity=0.7, subjectivity=0.9)",0.7,0.9,en,0,0,Mathippaan,0.0,"TamilNadu, COVID19, TNCoronaupdates",Covid19TNUpdate,,Chennai
1277585415403384833,2020-06-29 12:51:14+00:00,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","https://t.co/eL9lQMH27G - Be inspired, focussed &amp; curious. Open Your Card &amp; Look. https://t.co/01LfEJTRLj
CoVid-19… https://t.co/m5hQDTspSi",Be inspired focussed amp curious Open Your Card amp Look,"Sentiment(polarity=-0.05, subjectivity=0.75)",-0.05,0.75,en,0,0,thomascarle,0.0,,,,Schorndorf / Germany
1277585420138819586,2020-06-29 12:51:15+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@NGRPresident @toluogunlesi @MBuhari Soon PDP will criticize the President for holding a meeting on COVID19 in the… https://t.co/JHLldgu3kQ,Soon PDP criticize President holding meeting COVID19,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,afaha_official,,,"NGRPresident, toluogunlesi, MBuhari",,"Abuja, Nigeria"
